file-name,has-header,first-name,last-name,email,primary-phone,other-phone,street,city,state,zip
contacts (1).csv,Y,1,3,30,34,36,39,40,42,43
contacts (2).csv,Y,1,3,30,34,36,39,40,42,43
contacts (3).csv,Y,1,3,30,34,36,39,40,42,43
contacts (4).csv,Y,1,3,30,34,36,39,40,42,43
contacts (6).csv,Y,1,3,30,34,36,39,40,42,43
contacts exported from Garden State.csv,Y,36,43,24,54,56,68,81,76,70
contacts.csv,Y,1,3,30,34,36,39,40,42,43
contacts-export.csv,Y,2,3,8,10,12,14,16,17,18
exported contacts from CJMLS.csv,Y,0,1,7,11,13,2,3,4,5
flexmls_contact_export.csv,Y,4,5,1,10,9,14,12,13,15
personal_contacts-a5c6e0cf-7063-463d-a69a-3e373715d925-v1.csv,Y,0,2,22,14,11,27,29,31,33
